epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.4305,0.8991,0.9057,0.3581,0.9184,0.9184,0.3652,0.9032,0.9082
1,0.3229,0.9345,0.9353,0.3473,0.9254,0.9225,0.3605,0.9114,0.9086
2,0.307,0.9411,0.9415,0.3384,0.9315,0.9302,0.3542,0.918,0.9166
3,0.2937,0.9461,0.9472,0.3231,0.9383,0.9361,0.3525,0.9217,0.9198
4,0.2825,0.9492,0.9513,0.3023,0.9422,0.9439,0.3468,0.9252,0.9248
5,0.261,0.9589,0.9586,0.2839,0.9525,0.9505,0.3274,0.9376,0.9339
6,0.2542,0.961,0.9608,0.2776,0.9553,0.9529,0.32,0.9383,0.9353
7,0.2457,0.9648,0.9636,0.2824,0.9555,0.9528,0.3104,0.942,0.9392
8,0.2405,0.9669,0.9655,0.2663,0.9607,0.9576,0.3053,0.9437,0.9417
9,0.2355,0.9676,0.9667,0.265,0.9608,0.9586,0.2939,0.9491,0.9458
10,0.2261,0.9702,0.9691,0.2529,0.9645,0.9622,0.2949,0.9477,0.9458
11,0.2231,0.9704,0.9695,0.2629,0.9611,0.959,0.2946,0.949,0.9461
12,0.2189,0.9713,0.9707,0.2468,0.9664,0.9638,0.2893,0.9518,0.9489
13,0.2125,0.9731,0.9722,0.2572,0.9624,0.9604,0.297,0.9477,0.9446
14,0.2141,0.9726,0.9718,0.2551,0.9648,0.9623,0.2986,0.9475,0.9443
15,0.2113,0.9735,0.9725,0.2529,0.9641,0.962,0.3024,0.9459,0.9442
16,0.21,0.9734,0.9727,0.2488,0.9646,0.9626,0.2899,0.9503,0.9476
17,0.2045,0.9746,0.9739,0.2522,0.9636,0.9616,0.2904,0.9498,0.9472
18,0.2052,0.9749,0.9739,0.2404,0.9682,0.9653,0.2964,0.9498,0.9478
19,0.1984,0.9758,0.9753,0.2405,0.968,0.9652,0.2862,0.9522,0.95
20,0.1965,0.9764,0.9757,0.2361,0.9688,0.9662,0.291,0.951,0.9492
21,0.1951,0.976,0.976,0.2399,0.9678,0.9652,0.2893,0.9514,0.9497
22,0.1908,0.9776,0.977,0.2415,0.9672,0.9656,0.302,0.9487,0.9476
23,0.1924,0.9773,0.9767,0.2376,0.9685,0.9664,0.2852,0.9545,0.952
24,0.1889,0.9778,0.9775,0.2356,0.9682,0.9664,0.2859,0.9519,0.9493
25,0.1921,0.9775,0.9771,0.251,0.967,0.9644,0.2904,0.9543,0.9502
26,0.2059,0.9739,0.9736,0.2481,0.9656,0.964,0.2975,0.9514,0.9474
27,0.1893,0.9779,0.9772,0.2384,0.9671,0.9658,0.286,0.9538,0.9508
28,0.1874,0.978,0.9777,0.2297,0.9695,0.9683,0.2902,0.952,0.9499
29,0.1827,0.9789,0.9787,0.2296,0.9695,0.9682,0.2913,0.9519,0.9497
30,0.1793,0.9797,0.9795,0.2305,0.9685,0.9681,0.2862,0.9532,0.951
31,0.1804,0.9793,0.9792,0.2245,0.9703,0.9697,0.2734,0.9567,0.9542
32,0.1749,0.9801,0.9803,0.2178,0.9712,0.971,0.2682,0.9589,0.9562
33,0.1734,0.9813,0.9808,0.2199,0.9717,0.9707,0.2812,0.9557,0.9521
34,0.1732,0.981,0.9807,0.2197,0.9722,0.9711,0.2747,0.9573,0.954
35,0.1732,0.9812,0.9808,0.2158,0.9737,0.9722,0.2649,0.9599,0.9569
36,0.1718,0.9815,0.981,0.217,0.9722,0.9718,0.2767,0.9584,0.9556
37,0.1697,0.9822,0.9816,0.2231,0.9726,0.9709,0.2655,0.9609,0.9578
38,0.166,0.9827,0.9823,0.2132,0.9749,0.9729,0.2703,0.9598,0.9563
39,0.1652,0.9822,0.9823,0.2157,0.9739,0.9724,0.2679,0.9592,0.9561
40,0.1658,0.9825,0.9823,0.2254,0.9725,0.9711,0.2847,0.9561,0.9516
41,0.1654,0.9828,0.9821,0.2189,0.9737,0.9721,0.2681,0.9617,0.9576
42,0.1615,0.9834,0.983,0.2193,0.9736,0.9718,0.2765,0.9595,0.9553
43,0.1653,0.9827,0.9823,0.2212,0.9732,0.9719,0.2772,0.9597,0.9558
44,0.1626,0.983,0.9827,0.2285,0.973,0.9712,0.2697,0.9608,0.9575
45,0.1595,0.9839,0.9834,0.2199,0.9742,0.9721,0.2774,0.9594,0.9555
46,0.1617,0.9829,0.9828,0.2197,0.9745,0.9724,0.2724,0.9605,0.9571
47,0.1596,0.984,0.9835,0.2212,0.9738,0.9719,0.2672,0.9603,0.958
48,0.1593,0.9834,0.9834,0.2209,0.9746,0.9729,0.2682,0.962,0.9588
49,0.1591,0.9828,0.9834,0.2187,0.9749,0.9727,0.2742,0.9608,0.957
50,0.1582,0.9839,0.9835,0.2178,0.975,0.9725,0.2706,0.9608,0.9572
51,0.1558,0.9842,0.984,0.2174,0.9755,0.9734,0.2632,0.9635,0.9602
52,0.1545,0.9842,0.9842,0.222,0.9737,0.9717,0.2673,0.962,0.9585
53,0.1529,0.9849,0.9847,0.2228,0.9741,0.9711,0.2692,0.9603,0.9571
54,0.1539,0.9847,0.9843,0.2156,0.9749,0.9729,0.2645,0.9619,0.9585
55,0.1514,0.9853,0.985,0.2255,0.9742,0.9717,0.2767,0.9616,0.9579
56,0.151,0.985,0.985,0.2164,0.9758,0.9737,0.2678,0.9626,0.9593
57,0.1501,0.9851,0.9851,0.2198,0.9749,0.9727,0.2824,0.96,0.957
58,0.1481,0.986,0.9856,0.2242,0.9747,0.9723,0.275,0.9602,0.9574
59,0.1503,0.9848,0.985,0.2163,0.9755,0.9732,0.2625,0.9629,0.9599
60,0.1515,0.9855,0.9852,0.2232,0.9747,0.9724,0.2731,0.9601,0.9573
61,0.1603,0.9837,0.9836,0.2302,0.9729,0.9715,0.2876,0.9586,0.9551
62,0.1539,0.9844,0.9844,0.22,0.9747,0.9723,0.2704,0.9614,0.958
63,0.1499,0.9851,0.9851,0.2223,0.9746,0.9721,0.2749,0.9619,0.9579
64,0.1456,0.9856,0.9857,0.223,0.9753,0.9725,0.2796,0.9606,0.9571
65,0.1446,0.9864,0.9861,0.2259,0.9755,0.9728,0.2752,0.9614,0.9578
66,0.1444,0.9856,0.9858,0.2225,0.9755,0.9728,0.2791,0.9624,0.9581
67,0.1409,0.9867,0.9867,0.2296,0.9743,0.9719,0.28,0.9622,0.9583
68,0.1412,0.9867,0.9867,0.2257,0.9747,0.972,0.2757,0.962,0.9585
69,0.141,0.9868,0.9867,0.2292,0.9742,0.9718,0.2798,0.9616,0.9581
70,0.1401,0.9866,0.9867,0.2307,0.975,0.9724,0.2721,0.9633,0.9599
71,0.138,0.9869,0.9871,0.2411,0.9737,0.9709,0.2846,0.9609,0.958
72,0.1392,0.9867,0.9869,0.2338,0.9747,0.9719,0.2827,0.9606,0.9573
73,0.1382,0.9876,0.9873,0.2361,0.9744,0.9713,0.2837,0.9614,0.958
74,0.139,0.9864,0.9868,0.2485,0.9731,0.9706,0.2939,0.9604,0.9567
75,0.1397,0.9869,0.987,0.2272,0.9758,0.9731,0.2708,0.9643,0.9607
76,0.1385,0.9872,0.9873,0.2273,0.9751,0.9726,0.2771,0.9615,0.9586
77,0.1342,0.9876,0.9878,0.2355,0.9753,0.9726,0.2766,0.9624,0.9596
78,0.1356,0.9872,0.9875,0.2393,0.9759,0.9728,0.2825,0.9633,0.9597
79,0.1336,0.9879,0.988,0.2384,0.9747,0.9719,0.2664,0.9654,0.9621
80,0.1364,0.9871,0.9875,0.2368,0.9748,0.9724,0.2751,0.9641,0.9605
81,0.1335,0.9877,0.9878,0.2426,0.9749,0.9719,0.2786,0.9647,0.9609
