epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.4373,0.8956,0.8977,0.3617,0.9182,0.9167,0.3637,0.9132,0.917
1,0.321,0.9346,0.9338,0.3532,0.921,0.9182,0.3474,0.9196,0.9211
2,0.3164,0.9355,0.9355,0.3572,0.9208,0.9159,0.3509,0.9178,0.9174
3,0.3105,0.9391,0.9374,0.3572,0.9224,0.918,0.3455,0.9205,0.9195
4,0.3131,0.9379,0.9374,0.3549,0.9238,0.919,0.3495,0.9223,0.92
5,0.3085,0.9399,0.9391,0.346,0.928,0.9243,0.346,0.9241,0.9227
6,0.2976,0.9434,0.944,0.3327,0.934,0.9297,0.3362,0.9264,0.9255
7,0.284,0.9492,0.9494,0.3216,0.9393,0.9342,0.3282,0.9328,0.9305
8,0.2802,0.9517,0.9506,0.3101,0.9443,0.9393,0.3212,0.9375,0.9347
9,0.2761,0.9542,0.9527,0.3138,0.9432,0.9378,0.321,0.9371,0.9339
10,0.2702,0.9559,0.9547,0.2962,0.9492,0.9449,0.3039,0.9424,0.9405
11,0.2657,0.9581,0.9565,0.3026,0.9476,0.943,0.308,0.9436,0.9401
12,0.257,0.9605,0.959,0.295,0.9496,0.9455,0.3053,0.9445,0.9403
13,0.2573,0.96,0.9589,0.3019,0.9469,0.942,0.3105,0.9418,0.9366
14,0.2573,0.9604,0.959,0.303,0.9474,0.9425,0.3089,0.9428,0.9387
15,0.2546,0.9622,0.9605,0.304,0.9476,0.943,0.3117,0.9414,0.9375
16,0.2674,0.9582,0.9568,0.3133,0.9453,0.9398,0.3291,0.9379,0.9326
17,0.2494,0.9623,0.9611,0.3043,0.9477,0.9431,0.3116,0.9422,0.9386
18,0.2481,0.9639,0.9626,0.3159,0.9444,0.9395,0.3231,0.9394,0.9346
19,0.2548,0.9609,0.9597,0.2975,0.9498,0.9457,0.3066,0.9447,0.9401
20,0.2369,0.9659,0.9649,0.2999,0.9488,0.9449,0.3123,0.9426,0.938
21,0.239,0.9657,0.9642,0.2913,0.9522,0.9485,0.3006,0.9469,0.9431
22,0.2326,0.9678,0.9663,0.2847,0.9544,0.9503,0.2914,0.9493,0.9461
23,0.2303,0.9675,0.9668,0.2876,0.9548,0.9511,0.2949,0.9504,0.9469
24,0.2272,0.9692,0.9677,0.2877,0.9534,0.9506,0.3001,0.9479,0.9445
25,0.2291,0.9684,0.9673,0.2862,0.9545,0.9506,0.2986,0.949,0.9448
26,0.2282,0.9682,0.9673,0.2783,0.9568,0.953,0.2865,0.9525,0.9487
27,0.2227,0.9699,0.969,0.2704,0.9595,0.956,0.2845,0.9535,0.9498
28,0.2209,0.9708,0.9696,0.2754,0.9597,0.9562,0.2873,0.9548,0.9508
29,0.2162,0.9719,0.9708,0.2661,0.9612,0.957,0.2863,0.9538,0.9498
30,0.2124,0.9733,0.9717,0.261,0.9628,0.9591,0.2753,0.9569,0.9536
31,0.2044,0.9748,0.9739,0.2637,0.9632,0.9592,0.2806,0.9565,0.953
32,0.2056,0.9747,0.9735,0.2521,0.9646,0.9614,0.2756,0.9566,0.9532
33,0.2023,0.9754,0.9743,0.2603,0.9624,0.9589,0.2798,0.9559,0.9521
34,0.2005,0.9759,0.9749,0.2523,0.9659,0.9625,0.2711,0.9588,0.9555
35,0.2006,0.9754,0.9746,0.2455,0.9662,0.9633,0.2677,0.9595,0.9559
36,0.2006,0.9759,0.9749,0.2503,0.9656,0.9625,0.2681,0.9597,0.9562
37,0.1956,0.9769,0.9758,0.2502,0.9662,0.9631,0.2667,0.9604,0.957
38,0.1957,0.9766,0.9757,0.2412,0.9677,0.9646,0.2604,0.9617,0.9581
39,0.1917,0.9777,0.9767,0.2439,0.9673,0.9644,0.2673,0.9597,0.9564
40,0.1938,0.9767,0.9761,0.25,0.9656,0.9624,0.2703,0.9588,0.9552
41,0.1926,0.9775,0.9765,0.2532,0.9661,0.9626,0.2719,0.9592,0.9556
42,0.1889,0.9787,0.9776,0.2506,0.9667,0.9635,0.2696,0.9594,0.9562
43,0.1943,0.9769,0.9763,0.2559,0.9659,0.9625,0.2739,0.9584,0.9549
44,0.1899,0.9781,0.9771,0.2517,0.967,0.9638,0.2671,0.9601,0.957
45,0.1877,0.9783,0.9777,0.2486,0.9672,0.9639,0.2763,0.9581,0.9548
46,0.187,0.9784,0.9777,0.2535,0.9659,0.9624,0.2725,0.9586,0.9553
47,0.1853,0.9795,0.9785,0.253,0.9662,0.9628,0.274,0.9584,0.9549
48,0.1836,0.9796,0.9787,0.2534,0.9675,0.9642,0.275,0.9589,0.9558
49,0.1867,0.9786,0.9779,0.2558,0.9668,0.9634,0.2734,0.9595,0.9561
50,0.181,0.9799,0.9792,0.2551,0.9665,0.963,0.2763,0.9584,0.9548
51,0.1794,0.9803,0.9795,0.2455,0.968,0.9647,0.2729,0.9586,0.9551
52,0.178,0.9807,0.9799,0.2473,0.9677,0.9645,0.2743,0.9585,0.9553
53,0.1768,0.9807,0.9802,0.2559,0.967,0.9636,0.2771,0.9592,0.9556
54,0.1795,0.98,0.9795,0.2566,0.967,0.9634,0.2771,0.9595,0.9553
55,0.1752,0.9812,0.9805,0.2591,0.9653,0.9618,0.2903,0.9558,0.9519
56,0.1802,0.9797,0.9793,0.2595,0.9647,0.9611,0.2861,0.9561,0.9522
57,0.1763,0.9806,0.9803,0.2724,0.9647,0.9609,0.2967,0.9557,0.9514
