epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.6852,0.5515,0.5876,0.6486,0.5739,0.6298,0.7092,0.5138,0.4974
1,0.6789,0.5599,0.5961,0.6314,0.562,0.6252,0.7415,0.513,0.4931
2,0.6723,0.5613,0.5994,0.6455,0.5769,0.6509,0.8076,0.4902,0.4636
3,0.6672,0.5755,0.6146,0.617,0.5723,0.6364,0.8019,0.5054,0.463
4,0.6563,0.5727,0.6096,0.6404,0.5603,0.6287,0.8214,0.5103,0.4711
5,0.6638,0.5864,0.6245,0.5973,0.6061,0.6747,0.7759,0.4826,0.4364
6,0.6625,0.567,0.5984,0.6115,0.5958,0.6642,0.8048,0.49,0.4532
7,0.65,0.5863,0.6291,0.5897,0.6124,0.6813,0.764,0.4806,0.4344
8,0.6499,0.5952,0.635,0.6484,0.5782,0.6456,0.8298,0.5086,0.472
9,0.6589,0.5796,0.6163,0.603,0.5812,0.6479,0.7473,0.5058,0.4694
10,0.6473,0.5933,0.6348,0.6058,0.5673,0.6388,0.7842,0.5016,0.4787
11,0.6472,0.5957,0.6366,0.6001,0.5762,0.6511,0.7836,0.4967,0.4698
12,0.6488,0.5883,0.6215,0.5882,0.5887,0.6556,0.7426,0.4986,0.4752
13,0.6454,0.5891,0.6259,0.6112,0.5886,0.6544,0.7815,0.4969,0.4659
14,0.6496,0.5857,0.6216,0.6079,0.5853,0.6494,0.7842,0.4983,0.4724
15,0.6415,0.589,0.6259,0.6039,0.5806,0.6498,0.77,0.4964,0.4692
16,0.6373,0.5969,0.6329,0.5964,0.5845,0.6533,0.7686,0.4922,0.476
17,0.6339,0.5995,0.6345,0.5893,0.5977,0.664,0.7635,0.5096,0.4701
18,0.6369,0.5984,0.6325,0.6032,0.601,0.6711,0.7882,0.495,0.457
19,0.6358,0.5997,0.6369,0.5834,0.6152,0.6769,0.7493,0.5019,0.4543
20,0.633,0.6,0.6432,0.6044,0.5979,0.6615,0.7811,0.5027,0.4648
21,0.6386,0.5994,0.6373,0.5953,0.6033,0.6648,0.7697,0.5094,0.4605
22,0.6348,0.6001,0.6389,0.5997,0.6266,0.6814,0.7973,0.4997,0.4505
23,0.6283,0.6045,0.644,0.6152,0.6199,0.6762,0.7733,0.4935,0.4528
24,0.6319,0.6037,0.6451,0.6168,0.6106,0.6636,0.7901,0.5007,0.4677
25,0.6371,0.6032,0.6428,0.5942,0.6265,0.6776,0.7645,0.4921,0.4491
26,0.6336,0.6006,0.6419,0.6057,0.6276,0.6782,0.78,0.4935,0.4476
27,0.6286,0.6061,0.6482,0.6063,0.6304,0.6863,0.7599,0.4921,0.4525
28,0.6259,0.6128,0.6573,0.6112,0.637,0.682,0.7754,0.4873,0.4396
29,0.6294,0.6067,0.6457,0.6097,0.614,0.6642,0.7445,0.5092,0.4773
30,0.627,0.611,0.6529,0.6827,0.6229,0.6724,0.8113,0.4938,0.4638
31,0.6251,0.6158,0.6602,0.6033,0.6367,0.6785,0.7631,0.4847,0.4499
32,0.6341,0.6157,0.6561,0.6018,0.6419,0.6857,0.7633,0.4874,0.4477
