epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.5855,0.7399,0.7796,0.5833,0.7436,0.7721,0.7342,0.53,0.5182
1,0.5537,0.7563,0.7849,0.556,0.7739,0.7883,0.7387,0.5489,0.5438
2,0.5442,0.7689,0.7934,0.5537,0.7757,0.7894,0.7391,0.5512,0.551
3,0.5413,0.7713,0.7975,0.553,0.7765,0.7909,0.7341,0.5495,0.552
4,0.5378,0.7788,0.8041,0.5484,0.7813,0.7944,0.7373,0.5487,0.5527
5,0.529,0.7922,0.8151,0.543,0.784,0.7997,0.7659,0.5327,0.541
6,0.5245,0.7973,0.8191,0.5393,0.7861,0.8027,0.7637,0.5307,0.5425
7,0.5178,0.8015,0.8235,0.543,0.783,0.7999,0.7715,0.5301,0.5433
8,0.5215,0.7884,0.8173,0.5302,0.7868,0.8098,0.7553,0.5442,0.5564
9,0.5237,0.785,0.8134,0.5233,0.7876,0.8147,0.742,0.5548,0.5653
10,0.5127,0.7943,0.8244,0.5237,0.7847,0.8139,0.748,0.5513,0.5627
11,0.5088,0.8001,0.8277,0.5189,0.7825,0.8165,0.7249,0.5627,0.582
12,0.5076,0.797,0.8281,0.518,0.7985,0.8265,0.7477,0.5894,0.6004
13,0.5091,0.7932,0.8239,0.5179,0.782,0.818,0.7265,0.5748,0.5932
14,0.5016,0.8012,0.8304,0.5178,0.7976,0.8274,0.7435,0.599,0.6067
15,0.5003,0.8084,0.8323,0.5167,0.7904,0.824,0.7337,0.5851,0.6022
16,0.4964,0.8077,0.8345,0.5129,0.7999,0.8276,0.7307,0.5969,0.608
17,0.4905,0.8162,0.8397,0.5146,0.7974,0.8288,0.7264,0.5982,0.6126
18,0.4897,0.8117,0.8404,0.5211,0.8006,0.832,0.7313,0.6109,0.6213
19,0.4915,0.8127,0.8397,0.5237,0.7917,0.8263,0.7165,0.6008,0.6117
20,0.4845,0.8167,0.8425,0.5163,0.7971,0.8315,0.7288,0.606,0.619
21,0.4889,0.8142,0.8399,0.5106,0.8065,0.8291,0.7228,0.6035,0.6086
22,0.4814,0.8196,0.8449,0.5204,0.7869,0.8195,0.6973,0.5955,0.6093
23,0.4824,0.8216,0.8452,0.5133,0.8003,0.8289,0.704,0.6086,0.6212
24,0.4807,0.8198,0.8448,0.5216,0.8096,0.8331,0.7465,0.6099,0.6119
25,0.4792,0.8221,0.8471,0.5166,0.797,0.828,0.7061,0.6067,0.6149
26,0.4774,0.8257,0.8481,0.5133,0.8088,0.8311,0.7078,0.6138,0.6252
27,0.4745,0.8273,0.8501,0.515,0.7978,0.8239,0.705,0.6052,0.6082
28,0.472,0.8318,0.8523,0.5174,0.8056,0.8285,0.7047,0.6116,0.6274
29,0.4737,0.8281,0.8505,0.5111,0.8125,0.8334,0.7015,0.6299,0.6408
30,0.4697,0.8321,0.8536,0.5225,0.7989,0.8225,0.7026,0.6172,0.6237
31,0.4642,0.8348,0.8567,0.5206,0.8044,0.8248,0.7017,0.6195,0.63
32,0.4651,0.8364,0.8561,0.5127,0.8145,0.8324,0.7059,0.6317,0.6312
33,0.4742,0.8295,0.8508,0.514,0.8083,0.8299,0.7125,0.6243,0.6219
34,0.4648,0.8388,0.8571,0.5168,0.8081,0.8282,0.7143,0.6198,0.6243
35,0.4616,0.8398,0.8582,0.527,0.7959,0.8196,0.7043,0.6127,0.6191
36,0.4614,0.8389,0.8597,0.516,0.8066,0.8284,0.7066,0.6257,0.6328
37,0.4614,0.8405,0.859,0.5234,0.7957,0.8203,0.7072,0.6134,0.6188
38,0.4591,0.8404,0.8609,0.5304,0.788,0.8171,0.7059,0.6144,0.622
39,0.4607,0.8377,0.8583,0.5218,0.8099,0.8255,0.7115,0.6412,0.6464
