epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.47,0.8947,0.8884,0.4194,0.897,0.8837,0.5818,0.798,0.7656
1,0.4051,0.9034,0.8943,0.3972,0.8981,0.8899,0.5621,0.8041,0.7759
2,0.3824,0.9121,0.9073,0.3927,0.9018,0.8944,0.5666,0.8039,0.7755
3,0.374,0.9161,0.911,0.3853,0.9037,0.8966,0.5584,0.8061,0.7785
4,0.3732,0.9169,0.9119,0.3914,0.9016,0.8932,0.5479,0.8088,0.7803
5,0.3711,0.9179,0.9127,0.39,0.9022,0.8949,0.5721,0.802,0.7712
6,0.3756,0.9148,0.9098,0.3904,0.903,0.8953,0.5604,0.8067,0.7751
7,0.3642,0.9209,0.915,0.3774,0.9079,0.9024,0.5592,0.8062,0.7768
8,0.3709,0.9182,0.9123,0.3806,0.9076,0.9016,0.5501,0.8124,0.7831
9,0.3632,0.9208,0.9158,0.3602,0.9161,0.9111,0.5403,0.8233,0.7967
10,0.356,0.9242,0.9192,0.3555,0.9176,0.9137,0.5461,0.8264,0.7983
11,0.3569,0.9241,0.919,0.3528,0.9192,0.9155,0.5296,0.8333,0.8074
12,0.3551,0.9243,0.9192,0.3611,0.9148,0.9116,0.5412,0.8196,0.7905
13,0.3598,0.9213,0.9176,0.3543,0.9182,0.9156,0.5454,0.8287,0.8013
14,0.357,0.9223,0.9188,0.3588,0.915,0.9122,0.548,0.8177,0.7889
15,0.361,0.9206,0.9164,0.3554,0.9163,0.9142,0.5322,0.828,0.8018
16,0.3484,0.9267,0.9238,0.3576,0.9166,0.9136,0.5314,0.8252,0.7985
17,0.3576,0.9217,0.9176,0.3566,0.9182,0.9148,0.5355,0.8362,0.8091
18,0.3477,0.926,0.923,0.3503,0.921,0.919,0.5273,0.8358,0.8111
19,0.3468,0.9258,0.9228,0.3529,0.9181,0.9165,0.5251,0.8334,0.809
20,0.3479,0.9252,0.9221,0.354,0.9203,0.9183,0.5236,0.8408,0.8199
21,0.3362,0.9311,0.9274,0.3541,0.9187,0.916,0.5135,0.8367,0.8136
22,0.3404,0.9285,0.9258,0.3609,0.9186,0.9166,0.5435,0.8458,0.8223
23,0.3376,0.9295,0.927,0.3621,0.9159,0.9122,0.534,0.8442,0.822
24,0.3384,0.9296,0.9262,0.3661,0.9128,0.9092,0.527,0.8422,0.8195
25,0.3314,0.932,0.9296,0.3589,0.9168,0.914,0.5159,0.8461,0.8276
26,0.3287,0.9336,0.9312,0.3521,0.9207,0.9176,0.5051,0.8545,0.8363
27,0.3265,0.9343,0.9318,0.3617,0.918,0.9141,0.5158,0.8502,0.8298
28,0.3292,0.9335,0.9311,0.3601,0.9186,0.915,0.5168,0.8476,0.8273
29,0.326,0.9347,0.9321,0.3687,0.9169,0.9134,0.516,0.8591,0.8379
30,0.3273,0.9333,0.9312,0.3748,0.9117,0.9062,0.4908,0.855,0.8349
31,0.3263,0.9342,0.9322,0.3776,0.9133,0.9092,0.5192,0.86,0.8396
32,0.3216,0.9361,0.9332,0.3673,0.9155,0.9091,0.5044,0.853,0.8306
33,0.3243,0.9353,0.9331,0.3894,0.907,0.901,0.5321,0.8513,0.8305
34,0.3192,0.9377,0.9346,0.381,0.9096,0.9031,0.5057,0.8561,0.8356
35,0.3196,0.9373,0.9344,0.3912,0.911,0.9048,0.5459,0.8612,0.8419
36,0.3184,0.9375,0.9352,0.3689,0.9188,0.9129,0.5329,0.8581,0.8377
37,0.3167,0.9381,0.9355,0.3776,0.9168,0.9107,0.5449,0.8611,0.8413
38,0.317,0.9379,0.9352,0.4013,0.9105,0.9062,0.5613,0.8524,0.8299
39,0.3159,0.9388,0.9361,0.3868,0.9159,0.9116,0.5505,0.8571,0.8368
40,0.3136,0.9393,0.9368,0.379,0.9119,0.9063,0.5105,0.8584,0.8384
41,0.3147,0.9387,0.9362,0.3983,0.9169,0.9114,0.5729,0.8592,0.8391
42,0.31,0.941,0.9382,0.392,0.9149,0.9084,0.552,0.8609,0.8405
43,0.3118,0.9406,0.9375,0.4287,0.9127,0.9071,0.5916,0.8579,0.8368
44,0.3103,0.9405,0.938,0.4413,0.9074,0.9033,0.6124,0.8547,0.8334
45,0.3163,0.9384,0.936,0.4153,0.9049,0.8984,0.5564,0.8425,0.8194
46,0.3113,0.9404,0.9379,0.4435,0.9111,0.9056,0.6179,0.8561,0.8357
47,0.3093,0.9408,0.9383,0.4363,0.9107,0.9054,0.5882,0.8563,0.8351
48,0.3076,0.9424,0.9394,0.4611,0.9031,0.8964,0.6042,0.8497,0.8266
49,0.3127,0.9401,0.9375,0.426,0.908,0.9044,0.5843,0.8518,0.8274
50,0.3118,0.94,0.9378,0.4477,0.9087,0.9033,0.6022,0.8507,0.829
51,0.3038,0.9431,0.9406,0.449,0.9087,0.9045,0.6093,0.8425,0.821
52,0.311,0.9413,0.9384,0.4244,0.9104,0.9043,0.5843,0.8598,0.8427
53,0.3053,0.943,0.9403,0.4392,0.9123,0.9056,0.6044,0.849,0.8296
54,0.3053,0.9424,0.9401,0.4469,0.9072,0.9007,0.6308,0.8478,0.8263
55,0.3045,0.9432,0.9405,0.4678,0.9089,0.9021,0.6576,0.8442,0.8215
56,0.3051,0.9426,0.9402,0.4698,0.9099,0.9042,0.6318,0.8484,0.8277
57,0.3045,0.9432,0.9406,0.4296,0.9087,0.9018,0.5729,0.8504,0.8315
58,0.306,0.9418,0.9397,0.451,0.9101,0.9042,0.6287,0.8492,0.8294
59,0.3037,0.9435,0.9414,0.4426,0.9083,0.9031,0.5939,0.8513,0.8286
60,0.3063,0.9421,0.9402,0.4574,0.9045,0.898,0.6394,0.8511,0.831
61,0.3004,0.9447,0.9425,0.513,0.9103,0.9048,0.7029,0.8458,0.8253
62,0.3014,0.9444,0.9417,0.5278,0.9103,0.9045,0.6919,0.8522,0.8334
63,0.3013,0.9436,0.9417,0.5146,0.9069,0.9008,0.7111,0.8454,0.8253
64,0.3043,0.9428,0.9407,0.5064,0.9039,0.8994,0.697,0.8408,0.8191
65,0.3046,0.9423,0.9405,0.4856,0.904,0.8963,0.6769,0.8474,0.8278
66,0.301,0.9445,0.9421,0.4578,0.9038,0.8974,0.6311,0.8493,0.831
67,0.3013,0.9428,0.9414,0.4925,0.9044,0.8971,0.6607,0.8453,0.825
68,0.299,0.9444,0.9424,0.4968,0.9023,0.8936,0.6731,0.8451,0.8231
69,0.2985,0.9462,0.9436,0.5108,0.905,0.8973,0.6565,0.8521,0.8314
70,0.2975,0.9457,0.9432,0.4903,0.9001,0.8931,0.6508,0.8458,0.8228
71,0.295,0.9458,0.9441,0.4999,0.9066,0.8988,0.6596,0.854,0.8319
72,0.2935,0.9467,0.9447,0.4748,0.8988,0.8915,0.6776,0.8358,0.8145
73,0.2977,0.9452,0.9432,0.4637,0.903,0.8955,0.6691,0.8441,0.8227
74,0.2988,0.9452,0.9432,0.4693,0.9035,0.8953,0.663,0.8473,0.8258
75,0.2986,0.9444,0.9429,0.4664,0.9019,0.8947,0.6608,0.85,0.8275
76,0.2926,0.9471,0.945,0.4905,0.9042,0.8978,0.6993,0.8502,0.8281
77,0.2891,0.9482,0.9465,0.5222,0.9046,0.8977,0.7357,0.8474,0.8235
78,0.2949,0.9455,0.9439,0.5128,0.9067,0.9028,0.7151,0.8539,0.8317
79,0.2932,0.9463,0.9448,0.492,0.9055,0.8979,0.6605,0.8532,0.8302
80,0.2918,0.947,0.9451,0.4993,0.909,0.9046,0.7134,0.8498,0.8291
81,0.2926,0.9472,0.9455,0.4863,0.9103,0.9039,0.6718,0.8537,0.8311
82,0.2885,0.9489,0.9466,0.5093,0.909,0.9029,0.7291,0.8543,0.8327
83,0.2884,0.9486,0.9468,0.4778,0.9027,0.8943,0.6434,0.8455,0.8246
84,0.2892,0.9486,0.9467,0.5004,0.9064,0.8999,0.6903,0.8538,0.8325
85,0.2891,0.9482,0.9467,0.4565,0.9093,0.9027,0.6718,0.8456,0.8229
86,0.2884,0.9482,0.9468,0.4975,0.9076,0.9003,0.7891,0.8493,0.826
87,0.2874,0.9488,0.947,0.4508,0.9043,0.898,0.6893,0.8425,0.8215
88,0.2893,0.9482,0.9463,0.5878,0.9022,0.8954,0.7835,0.8439,0.8241
89,0.2863,0.949,0.9474,0.4456,0.9049,0.8968,0.6259,0.8485,0.8269
90,0.2854,0.9493,0.948,0.4493,0.9033,0.8939,0.611,0.8428,0.821
91,0.2856,0.9489,0.9475,0.4731,0.9034,0.8936,0.6643,0.8401,0.8171
92,0.2848,0.9496,0.948,0.5179,0.9083,0.8997,0.7269,0.8517,0.8307
93,0.2859,0.9495,0.9476,0.4443,0.9064,0.8966,0.6437,0.8412,0.819
94,0.2839,0.9504,0.9489,0.5049,0.907,0.8978,0.7236,0.8388,0.8186
95,0.2812,0.9508,0.9493,0.444,0.902,0.8913,0.6464,0.8371,0.8149
96,0.2813,0.9508,0.9491,0.472,0.8996,0.8881,0.6734,0.8484,0.8261
97,0.2802,0.9505,0.9495,0.4492,0.8988,0.8868,0.6415,0.8412,0.8182
98,0.2827,0.9499,0.9488,0.4517,0.9009,0.8891,0.699,0.8426,0.8179
99,0.2809,0.9505,0.9491,0.4721,0.9023,0.8923,0.69,0.8444,0.8241
