run,test loss,node average_precision,test average_precision,node roc_auc,test roc_auc,new node test loss,new node test average_precision,new node test roc_auc
0,0.1925,"[0.9770671539090315, 0.9739930856961636, 0.9842956913216581, 0.9880434798637199, 0.9865450288829903, 0.9891195022732738, 0.9900164039372567, 0.9889334455824031, 0.978073636533004, 0.9668525523341516, 0.9772669115884065, 0.9804886323310553, 0.9806192571965219, 0.9826723607119517, 0.9832056677489149, 0.9933883074545434, 0.9803709389447117, 0.9857139434662447, 0.9845925600581353, 0.9923121001137504, 0.9816908286430017, 0.9565293057315196, 0.9832917454788612, 0.9826319021281769, 0.9898024694914086, 0.9841772119469034, 0.9712402961518116, 0.9828652805476268, 0.9562150238513533, 0.966496941736434, 0.9757522448540689, 0.9628126413579282, 0.9730206977468082, 0.9609710718005692, 0.9868980428471434, 0.987771309874615, 0.9819977163584783, 0.9808139521426441]",0.9797,"[0.976175, 0.9741874999999999, 0.981475, 0.9877499999999999, 0.984925, 0.98735, 0.989125, 0.9877, 0.97675, 0.96235, 0.97445, 0.979525, 0.977325, 0.9774750000000001, 0.9817250000000001, 0.99285, 0.9765125, 0.9838749999999999, 0.9829999999999999, 0.99135, 0.9815499999999999, 0.9635874999999999, 0.982125, 0.9811624999999999, 0.9901249999999999, 0.982175, 0.9667, 0.9819625000000001, 0.964825, 0.9634875, 0.9736, 0.9592750000000001, 0.9697749999999999, 0.955725, 0.9856499999999999, 0.98655, 0.980075, 0.9768]",0.9782,0.2413,1,1
1,0.191,"[0.9791644156257739, 0.9849506308840067, 0.98095988971742, 0.9905449108131563, 0.988321428927002, 0.987609912909165, 0.9911029161643765, 0.9922114839235522, 0.9834427123752866, 0.9695869801345264, 0.9796332000687936, 0.9783315483542311, 0.9791739547695184, 0.9831076110831743, 0.9847139829877191, 0.9884829292302564, 0.9798256605551925, 0.9867271419451115, 0.9830011020436342, 0.9878183078891074, 0.9815785840536289, 0.9587750918410148, 0.9877049620392641, 0.9844424136648067, 0.9902599730518901, 0.9794190378187771, 0.9738028624641842, 0.9823413557198106, 0.9687019452400616, 0.9763355999567774, 0.9679965783102547, 0.9709842994685275, 0.9677586390860129, 0.9569801013678008, 0.9871050399057695, 0.9934773390943161, 0.9894765029341754, 0.9744396398949675]",0.9808,"[0.97675, 0.9843875, 0.9789749999999999, 0.989325, 0.9858, 0.98475, 0.99025, 0.991725, 0.9818, 0.96495, 0.9765250000000001, 0.9756999999999999, 0.97775, 0.97865, 0.9823999999999999, 0.9868, 0.9754625, 0.986525, 0.980075, 0.985475, 0.9803250000000001, 0.9617875, 0.9858, 0.9823125, 0.9912500000000001, 0.975025, 0.970675, 0.9818875, 0.96955, 0.9744125, 0.969225, 0.96765, 0.9641249999999999, 0.951175, 0.98665, 0.9927750000000001, 0.987975, 0.9711000000000001]",0.9789,0.2634,1,1
