run,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc,test loss,node average_precision,test average_precision,node roc_auc,test roc_auc,new node test loss,new node test average_precision,new node test roc_auc
0,0.2656,0.9564,0.9445,0.3701,0.9167,0.8882,0.3066,"[0.8969985436986638, 0.9164910951446421, 0.9209831328763649, 0.9115009505632004, 0.901480311175821, 0.9189008657572523, 0.9293531490033288, 0.9628464597568328, 0.915177332969053, 0.8899973839279369, 0.8999483862237762, 0.9344531531985583, 0.91836287908555, 0.8994043547490795, 0.945563334023115, 0.940055138018061, 0.9545385426908788, 0.9390649747645943, 0.9608330901124075, 0.9624654837762817, 0.9466317047373561, 0.9826765538742415, 0.962676145665709, 0.9755132539883427, 0.981393902651756, 0.9733301183510054, 0.9695956663123618, 0.9851201458664967, 0.9768974839239362, 0.9368096298988677, 0.9619476933663368, 0.9511746829638381, 0.9550739644364046, 0.97521947305625, 0.968684594375296, 0.9445127519287551, 0.8157921395936838, 0.9521945463907965]",0.9404,"[0.8648374999999999, 0.8845750000000001, 0.8906875, 0.8759250000000001, 0.8599, 0.896875, 0.908225, 0.949125, 0.8869874999999999, 0.8615999999999999, 0.8850999999999999, 0.9063, 0.89775, 0.8753499999999999, 0.9301875000000001, 0.9189499999999999, 0.9419000000000001, 0.9082499999999999, 0.9451, 0.9520250000000001, 0.9274, 0.977025, 0.9554250000000001, 0.9689500000000001, 0.9766999999999999, 0.9676499999999999, 0.9593499999999999, 0.9799250000000002, 0.9658749999999999, 0.9206249999999999, 0.949675, 0.930875, 0.936975, 0.9670250000000001, 0.9527000000000001, 0.921275, 0.7639500000000001, 0.9396]",0.9211,0.3781,1,1
1,0.2875,0.9492,0.9377,0.3991,0.9025,0.8685,0.3253,"[0.8836381127137836, 0.901446521098704, 0.9176015149798084, 0.896270629992926, 0.8858133866694494, 0.9142883568775255, 0.9131074065510818, 0.9434237850338333, 0.9054970039128886, 0.8877872867366313, 0.893044717415265, 0.9248393526668044, 0.9145451029031916, 0.892416488723022, 0.9365592857276354, 0.9342597262512607, 0.9478258360139574, 0.9347439407567901, 0.9507684597385616, 0.9523027780843268, 0.9425176927195682, 0.9733556636866515, 0.9593747460639259, 0.9697927969907341, 0.9779209527484457, 0.9768699811723185, 0.9706550958560157, 0.9833837455090774, 0.9774096185449735, 0.91846201325835, 0.9553584577996156, 0.9543920323861607, 0.9531258864079445, 0.9723167195376599, 0.9750883535998025, 0.9383211496262727, 0.7911638053932394, 0.9567541354702687]",0.9336,"[0.8549625, 0.8766750000000001, 0.8878125000000001, 0.859575, 0.84065, 0.8912749999999999, 0.8832749999999999, 0.926975, 0.8812625, 0.87205, 0.871575, 0.891825, 0.891825, 0.8824, 0.9153625000000001, 0.9115749999999999, 0.93245, 0.9049, 0.9386999999999999, 0.9378, 0.9238, 0.9641, 0.95175, 0.9594, 0.97765, 0.970575, 0.9595750000000001, 0.97855, 0.968625, 0.90075, 0.9410499999999999, 0.9407499999999999, 0.9345749999999999, 0.9666, 0.966175, 0.90965, 0.7312, 0.9464]",0.9143,0.4023,1,1
