run,test loss,node average_precision,test average_precision,node roc_auc,test roc_auc,new node test loss,new node test average_precision,new node test roc_auc
0,0.367,"[0.94230446567063, 0.9416196206358188, 0.9354291616586927, 0.9638696316830475, 0.9606777796739496, 0.9020999051747933, 0.9285865524255449, 0.9573244314403403, 0.9445236140565106, 0.9098664570554523, 0.904650515395264, 0.8799951567173501, 0.9040330184277754, 0.9296055529716897, 0.9346474205032104, 0.9598023962713187, 0.9392452147088344, 0.9329444923258968, 0.9294286204799669, 0.9493181110162325, 0.9375790402863893, 0.8886768103985087, 0.9593730354672031, 0.9529268131421378, 0.9729759918145784, 0.9209509389889161, 0.9331743260714997, 0.9379865925234775, 0.9105516801696819, 0.9240397221609479, 0.9419755148368594, 0.8966498774511077, 0.9312610954438794, 0.9020339886844299, 0.9420599873249147, 0.9642210410163593, 0.9562188707051212, 0.9136661040210713]",0.9325,"[0.9303999999999999, 0.934525, 0.9199749999999999, 0.9571, 0.9566250000000001, 0.8675125000000001, 0.9240999999999999, 0.94925, 0.93465, 0.9029, 0.870775, 0.8637374999999999, 0.8995624999999999, 0.916075, 0.925625, 0.9558, 0.926325, 0.9232250000000001, 0.9159999999999999, 0.9414375, 0.93065, 0.8790625, 0.9491125, 0.9564125, 0.9716875, 0.917075, 0.9309000000000001, 0.9310875, 0.923975, 0.9159499999999999, 0.9334, 0.8896, 0.9220624999999999, 0.888525, 0.9351875000000001, 0.9595249999999999, 0.954975, 0.9013]",0.9238,0.4914,1,1
1,0.4027,"[0.9483698738429099, 0.9511450990013267, 0.9340037339414716, 0.9569469886482822, 0.9573248638522484, 0.912614627058963, 0.9483287976918914, 0.9501438640451279, 0.9183660983328763, 0.9387280280536936, 0.887633345233034, 0.8430364586509824, 0.9006667158195094, 0.9135892038764098, 0.92353598880094, 0.9503073805417704, 0.9180931971924916, 0.8990069492789705, 0.9079114926979263, 0.9437558741729415, 0.951401654758982, 0.8846688762222589, 0.9407969556845496, 0.954716064573381, 0.9403067827796384, 0.9027881101691067, 0.9253699671099425, 0.9133263276055303, 0.9072375517792449, 0.9055844597269828, 0.9382077846083344, 0.923827165347774, 0.9336262290641345, 0.9265920466400994, 0.9371819602951157, 0.9517691795740845, 0.9482902209142656, 0.9087669276154005]",0.9263,"[0.9404250000000001, 0.94465, 0.924625, 0.951775, 0.9486, 0.8792875, 0.94395, 0.944, 0.919275, 0.932825, 0.865675, 0.8306875, 0.9027625, 0.899425, 0.9106249999999999, 0.9489749999999999, 0.8914500000000001, 0.878275, 0.88755, 0.9373125, 0.9469, 0.8656125, 0.9456875000000001, 0.9496375, 0.9364875, 0.89195, 0.916875, 0.8895625000000001, 0.9119750000000001, 0.898775, 0.936775, 0.9181, 0.9182625, 0.91185, 0.9353625, 0.950475, 0.9461750000000001, 0.8996]",0.9172,0.4978,1,1
