run,test loss,node average_precision,test average_precision,node roc_auc,test roc_auc,new node test loss,new node test average_precision,new node test roc_auc
0,0.4171,"[0.7799464903532747, 0.8931435853705672, 0.8248692324683248, 0.8405524337558016, 0.8451938372673615, 0.8266228935052975, 0.8890518825127579, 0.9345513204369241, 0.8541098403167955, 0.8002042350949676, 0.8579920182599513, 0.8469893942183155, 0.861153436164076, 0.8406850368109371, 0.8799252980192583, 0.89838532371198, 0.8987262681012094, 0.9220339117554641, 0.9163376055482668, 0.8514995638287284, 0.8851950263682651, 0.9737834888683248, 0.9084775582308169, 0.9402336640348283, 0.9575537371160372, 0.9427840131834517, 0.923972931719086, 0.9743535791636355, 0.9736543833459488, 0.860793425518172, 0.8909062898671533, 0.9187479727676534, 0.9020374426183904, 0.9588342983014049, 0.8962230181529316, 0.8860425544036048, 0.7276807206638443, 0.937672836327552]",0.8874,"[0.7959125, 0.8839, 0.8217375, 0.8391249999999999, 0.83105, 0.82165, 0.878775, 0.9267, 0.8416875, 0.814875, 0.8498000000000001, 0.8463249999999999, 0.854625, 0.84375, 0.8847875000000001, 0.8840749999999999, 0.8877249999999999, 0.9105749999999999, 0.907325, 0.859775, 0.8814000000000001, 0.9701500000000001, 0.907775, 0.9332999999999999, 0.957875, 0.9383, 0.9223499999999999, 0.9714250000000001, 0.968975, 0.862075, 0.8889, 0.9126000000000001, 0.8909250000000001, 0.952875, 0.8982000000000001, 0.876275, 0.7216750000000001, 0.9333]",0.8835,0.552,1,1
1,0.6063,"[0.7781964993819303, 0.8967364321829947, 0.832698646241296, 0.814972652360832, 0.8385779124428154, 0.812111056342348, 0.8676077225309439, 0.9226407090150532, 0.8470966061590706, 0.7998909190436756, 0.8424023380733944, 0.8372375081235449, 0.8597922770016323, 0.8176507188656917, 0.8809352997318186, 0.8854539562200221, 0.8903028914796793, 0.9158124095248716, 0.8930902119697841, 0.8460022973903456, 0.8718243949791801, 0.9697607022196756, 0.9046855273804502, 0.9287634351108262, 0.9478361972004419, 0.9373433812592851, 0.9299528064963782, 0.9702176824915724, 0.9742835775420848, 0.8650496870263176, 0.8797369270216776, 0.9275129135738963, 0.9157843686782497, 0.9602710063419715, 0.9062634224486966, 0.8928397952972349, 0.7268218808383905, 0.9346263036694518]",0.8822,"[0.7880375000000001, 0.8927499999999999, 0.8337874999999999, 0.82965, 0.8261, 0.80955, 0.8534999999999998, 0.91565, 0.8430125, 0.818775, 0.83695, 0.83325, 0.845825, 0.825825, 0.8848874999999999, 0.8774500000000002, 0.8825249999999999, 0.898825, 0.8853, 0.8566250000000001, 0.86975, 0.9639249999999999, 0.901875, 0.9194000000000001, 0.94695, 0.93075, 0.926575, 0.964825, 0.970375, 0.8571, 0.8751, 0.9183499999999999, 0.9072499999999999, 0.955425, 0.905825, 0.877325, 0.7315, 0.9293]",0.8787,0.8157,1,1
