epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.6945,0.4821,0.4452,0.6915,0.6186,0.5632,0.6921,0.6008,0.529
1,0.692,0.5663,0.5757,0.6939,0.5283,0.4971,0.6941,0.4285,0.3163
2,0.6878,0.7191,0.7249,0.6962,0.5564,0.4985,0.6962,0.5083,0.434
3,0.6908,0.632,0.61,0.6945,0.5834,0.5404,0.695,0.5352,0.4722
4,0.6795,0.8392,0.8008,0.6947,0.6065,0.5615,0.6975,0.5227,0.4582
5,0.6674,0.8663,0.8342,0.6933,0.6213,0.5725,0.7004,0.5205,0.452
6,0.6881,0.5791,0.5724,0.6847,0.6292,0.594,0.7001,0.5215,0.4503
7,0.6882,0.5661,0.5876,0.6757,0.6493,0.6427,0.7008,0.5295,0.4771
8,0.6662,0.7417,0.7489,0.6742,0.672,0.6751,0.7117,0.5377,0.4879
9,0.653,0.7371,0.7207,0.6512,0.6919,0.7014,0.7039,0.5623,0.5315
10,0.6509,0.728,0.7143,0.6485,0.7091,0.7154,0.7085,0.5728,0.5494
11,0.65,0.7588,0.744,0.6284,0.7099,0.7216,0.6994,0.5847,0.5691
12,0.6548,0.6555,0.6322,0.7609,0.6751,0.6683,0.7619,0.596,0.6158
13,0.6919,0.6789,0.6896,0.8057,0.5298,0.5477,0.7725,0.5665,0.6139
14,0.6533,0.7284,0.744,0.6656,0.6473,0.6531,0.6671,0.6086,0.5983
15,0.6665,0.7332,0.732,0.6789,0.6557,0.6704,0.6807,0.608,0.6043
16,0.6345,0.8847,0.8731,0.732,0.6804,0.673,0.7489,0.5837,0.5874
17,0.6472,0.7474,0.7473,0.6753,0.6729,0.6926,0.7163,0.5621,0.5607
18,0.6452,0.6998,0.6872,0.6587,0.7158,0.7173,0.6911,0.5806,0.5857
19,0.6417,0.7175,0.715,0.6975,0.6462,0.6722,0.7141,0.577,0.5956
20,0.6347,0.7619,0.7601,0.6722,0.6895,0.7093,0.7178,0.5654,0.5753
21,0.5961,0.8282,0.814,0.6375,0.7184,0.7202,0.7286,0.5637,0.5469
22,0.6291,0.7124,0.6989,0.6173,0.7562,0.7504,0.7111,0.6085,0.5888
23,0.5934,0.8412,0.8266,0.6078,0.7519,0.7512,0.7208,0.5922,0.5877
24,0.5432,0.8737,0.859,0.8022,0.7471,0.7313,0.8549,0.5992,0.5892
25,0.6714,0.7595,0.7423,0.5887,0.7713,0.7619,0.6922,0.6391,0.6038
26,0.6575,0.8026,0.7949,0.7027,0.7176,0.7206,0.7491,0.6034,0.5977
27,0.6588,0.7755,0.7681,0.7992,0.7117,0.7069,0.8404,0.619,0.6009
28,0.5877,0.8596,0.8606,0.6625,0.7161,0.7232,0.7061,0.6476,0.623
29,0.6019,0.8363,0.8358,0.6554,0.7162,0.7101,0.6939,0.6396,0.6068
30,0.5569,0.9378,0.9344,0.7269,0.719,0.706,0.7699,0.6232,0.5982
31,0.6504,0.7784,0.7675,0.6799,0.7093,0.7074,0.7464,0.6129,0.5881
32,0.6068,0.8166,0.7957,0.6464,0.7006,0.7068,0.7034,0.6304,0.5955
