epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.6779,0.561,0.5993,0.6815,0.6259,0.7101,0.6832,0.6174,0.6636
1,0.6593,0.5693,0.6131,0.6848,0.5658,0.5886,0.6791,0.574,0.6133
2,0.6478,0.5848,0.6354,0.638,0.6331,0.7057,0.6729,0.5345,0.566
3,0.6409,0.5829,0.6336,0.6262,0.6202,0.6921,0.7096,0.5359,0.5555
4,0.6443,0.5888,0.647,0.6545,0.639,0.704,0.706,0.544,0.5497
5,0.6384,0.5858,0.6383,0.6582,0.6094,0.6899,0.7044,0.606,0.6128
6,0.6274,0.5956,0.6509,0.6463,0.6033,0.6801,0.7078,0.5775,0.5849
7,0.623,0.5979,0.6551,0.6073,0.613,0.68,0.6842,0.5482,0.5662
8,0.6209,0.6068,0.6599,0.6052,0.6413,0.71,0.6787,0.5567,0.5775
9,0.6141,0.6061,0.6616,0.6191,0.6003,0.6752,0.6824,0.5814,0.6048
10,0.6104,0.6157,0.6707,0.6122,0.5911,0.6653,0.677,0.5766,0.5976
11,0.6064,0.6186,0.6779,0.6435,0.6031,0.6743,0.7096,0.571,0.5875
12,0.6025,0.6215,0.681,0.6489,0.5872,0.6537,0.6809,0.5965,0.6108
13,0.6024,0.6226,0.683,0.6662,0.6059,0.6752,0.7066,0.5447,0.5678
14,0.6033,0.6218,0.6808,0.6352,0.5913,0.6537,0.6795,0.6197,0.6324
15,0.5964,0.631,0.687,0.6192,0.5864,0.6454,0.6802,0.5809,0.5984
16,0.6015,0.6297,0.683,0.6299,0.5725,0.635,0.6575,0.6253,0.6637
17,0.5868,0.6396,0.697,0.6177,0.583,0.6535,0.6554,0.6425,0.7006
18,0.5896,0.6431,0.6978,0.6561,0.5756,0.647,0.6877,0.6312,0.6629
19,0.5798,0.6605,0.719,0.6897,0.5938,0.6645,0.7427,0.6611,0.7092
20,0.5813,0.6587,0.717,0.6563,0.5946,0.6603,0.7266,0.6418,0.6863
21,0.5759,0.6637,0.7252,0.702,0.5775,0.6466,0.7358,0.6258,0.6707
22,0.5706,0.6679,0.7314,0.6917,0.5719,0.6377,0.6901,0.6594,0.6864
23,0.5637,0.6798,0.74,0.6909,0.579,0.6503,0.7046,0.6452,0.6953
24,0.5584,0.6863,0.7497,0.6613,0.5715,0.638,0.6418,0.6527,0.702
25,0.5531,0.6894,0.7521,0.6892,0.5723,0.6351,0.6981,0.6285,0.6806
26,0.5519,0.6967,0.7614,0.713,0.5694,0.6334,0.6992,0.6,0.6303
27,0.5548,0.7025,0.7666,0.7284,0.5738,0.6306,0.6671,0.6238,0.6641
28,0.5443,0.7072,0.773,0.699,0.6103,0.6822,0.7745,0.5724,0.5917
29,0.5458,0.7152,0.7763,0.6841,0.5833,0.6412,0.6789,0.5912,0.6215
30,0.5362,0.7125,0.7783,0.6832,0.5844,0.6549,0.7284,0.5846,0.6144
31,0.5324,0.7206,0.7833,0.7013,0.5855,0.6492,0.6819,0.614,0.6562
32,0.5234,0.7342,0.7979,0.6825,0.5689,0.6362,0.7576,0.5218,0.548
33,0.524,0.7331,0.7939,0.7039,0.5847,0.6527,0.7532,0.5465,0.5646
34,0.5237,0.7359,0.7974,0.6429,0.5922,0.6531,0.8033,0.4888,0.4903
35,0.5263,0.7354,0.7966,0.646,0.5879,0.649,0.7853,0.5366,0.5398
