epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
67,0.4905,0.7775,0.808,0.6551,0.6861,0.746,0.8891,0.5089,0.515
68,0.4918,0.7763,0.8088,0.6341,0.6733,0.7288,0.8276,0.5196,0.531
69,0.4875,0.7767,0.8097,0.636,0.6925,0.7475,0.8576,0.5101,0.5136
70,0.4845,0.7792,0.8099,0.6484,0.6874,0.7439,0.8464,0.5256,0.5347
71,0.4875,0.7801,0.8097,0.654,0.6899,0.7496,0.8608,0.5226,0.5388
72,0.486,0.7784,0.8117,0.6351,0.6787,0.7323,0.8225,0.527,0.5351
73,0.4852,0.7792,0.8119,0.6617,0.6872,0.7418,0.8785,0.5126,0.5185
74,0.4816,0.7823,0.8157,0.6643,0.6865,0.7428,0.8537,0.5227,0.53
75,0.4813,0.785,0.8164,0.6746,0.6906,0.7442,0.8759,0.5172,0.5246
76,0.4793,0.7841,0.8164,0.6589,0.6944,0.7517,0.8568,0.5217,0.5343
77,0.48,0.7868,0.8165,0.6779,0.6846,0.7368,0.8739,0.527,0.5404
78,0.4769,0.7867,0.818,0.685,0.6944,0.7533,0.9311,0.5106,0.5204
79,0.4762,0.7865,0.8189,0.6735,0.6926,0.752,0.9235,0.5156,0.5291
80,0.4757,0.787,0.8181,0.6898,0.686,0.74,0.9178,0.5146,0.5276
81,0.4726,0.7908,0.8211,0.7117,0.6851,0.7425,0.9311,0.5105,0.5217
82,0.4718,0.788,0.8201,0.6782,0.6967,0.7503,0.9064,0.5216,0.5328
83,0.4755,0.7862,0.818,0.6709,0.6925,0.751,0.9066,0.5168,0.5279
84,0.47,0.7904,0.8226,0.6813,0.6932,0.7488,0.9074,0.514,0.5251
85,0.4729,0.788,0.8194,0.6885,0.7004,0.7566,0.9272,0.511,0.526
86,0.4677,0.7917,0.8251,0.741,0.6941,0.7523,0.9562,0.5151,0.5274
87,0.4683,0.79,0.8231,0.6632,0.696,0.7518,0.8842,0.5247,0.5362
88,0.4657,0.7929,0.8246,0.7557,0.6855,0.7365,0.9504,0.5232,0.5373
89,0.4632,0.7966,0.8274,0.7305,0.6871,0.7412,0.9268,0.5285,0.5404
90,0.4634,0.794,0.8267,0.7103,0.701,0.7587,0.9693,0.5115,0.522
91,0.4628,0.7978,0.8292,0.7375,0.6918,0.7466,0.9462,0.5185,0.5305
92,0.4604,0.7946,0.8271,0.7441,0.6919,0.7451,0.9697,0.5238,0.537
93,0.4586,0.7971,0.829,0.7975,0.6844,0.7371,1.0432,0.5062,0.5161
94,0.4606,0.7992,0.83,0.7713,0.6952,0.7455,1.017,0.5213,0.5346
95,0.4572,0.7987,0.8299,0.7199,0.6966,0.75,0.9443,0.5191,0.5352
96,0.4595,0.7971,0.8284,0.7969,0.691,0.7473,1.058,0.5049,0.5132
97,0.4543,0.8017,0.833,0.892,0.6783,0.7268,1.1193,0.5183,0.5283
98,0.4525,0.8038,0.8334,0.8189,0.6999,0.7546,1.0813,0.5032,0.5107
99,0.458,0.7998,0.8316,0.8205,0.6913,0.7397,1.0478,0.5082,0.518
