epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.6718,0.6291,0.6494,0.6518,0.6823,0.7325,0.7366,0.4776,0.4387
1,0.6495,0.6551,0.6678,0.6282,0.7041,0.7578,0.757,0.4842,0.4409
2,0.6399,0.6588,0.6757,0.6339,0.7004,0.7427,0.7404,0.4818,0.4357
3,0.6424,0.6682,0.6835,0.6094,0.7064,0.7698,0.7768,0.4807,0.4435
4,0.6269,0.6726,0.6899,0.5992,0.7027,0.7587,0.7748,0.4853,0.4425
5,0.6319,0.6795,0.6945,0.595,0.7133,0.7745,0.7644,0.4834,0.4463
6,0.6148,0.6742,0.691,0.5886,0.7137,0.7773,0.8104,0.4832,0.446
7,0.6139,0.6833,0.7052,0.5937,0.7108,0.7687,0.8002,0.4838,0.4443
8,0.611,0.6862,0.707,0.5847,0.7117,0.7745,0.8076,0.4834,0.4465
9,0.6103,0.6796,0.7032,0.5907,0.7052,0.7691,0.8104,0.4865,0.4551
10,0.6016,0.6815,0.7063,0.5851,0.7121,0.7778,0.8004,0.4847,0.4539
11,0.6048,0.686,0.7086,0.5981,0.704,0.7721,0.7596,0.4864,0.463
12,0.5967,0.6867,0.7142,0.5797,0.7096,0.776,0.8297,0.4859,0.4543
13,0.5964,0.6888,0.716,0.5987,0.6971,0.7613,0.7546,0.4932,0.4721
14,0.5884,0.6982,0.724,0.5901,0.7083,0.7744,0.7705,0.4881,0.4684
15,0.5833,0.7034,0.7329,0.6144,0.6933,0.7565,0.7845,0.4934,0.465
16,0.5803,0.706,0.7322,0.5726,0.7101,0.7757,0.8377,0.4846,0.4564
17,0.5798,0.7042,0.7347,0.6042,0.6648,0.7175,0.7451,0.5101,0.5226
18,0.5731,0.7122,0.7425,0.5884,0.6894,0.752,0.7627,0.4973,0.4962
19,0.582,0.702,0.7299,0.5793,0.7083,0.7695,0.8163,0.48,0.4495
20,0.572,0.7111,0.7409,0.572,0.7149,0.7807,0.8151,0.4871,0.4721
21,0.5723,0.7174,0.7468,0.58,0.7104,0.7758,0.8068,0.4842,0.4565
22,0.5641,0.7197,0.7463,0.5737,0.7105,0.7792,0.7812,0.4993,0.5059
23,0.5638,0.7226,0.7513,0.5685,0.7038,0.774,0.7723,0.4963,0.4982
24,0.5586,0.7256,0.7533,0.5718,0.7069,0.7734,0.7741,0.5002,0.5086
25,0.5549,0.7245,0.7545,0.5783,0.7119,0.7763,0.8078,0.4968,0.4939
26,0.5527,0.7304,0.759,0.5672,0.7056,0.7742,0.7767,0.4947,0.4906
27,0.5572,0.7216,0.751,0.595,0.698,0.7641,0.792,0.5074,0.5282
28,0.5519,0.7304,0.7607,0.5785,0.7046,0.7729,0.7776,0.5047,0.5188
29,0.5443,0.7328,0.7632,0.5994,0.7052,0.7659,0.8066,0.5047,0.5069
30,0.5458,0.7366,0.7654,0.6051,0.7031,0.764,0.7635,0.52,0.5367
31,0.545,0.7322,0.7618,0.5916,0.7009,0.7632,0.8136,0.5037,0.5154
32,0.5434,0.7343,0.764,0.6244,0.6955,0.7598,0.8073,0.5154,0.5355
33,0.5449,0.7343,0.7644,0.6184,0.6683,0.722,0.7753,0.5159,0.5309
34,0.5369,0.7445,0.7745,0.6675,0.6481,0.6968,0.7905,0.5229,0.5437
35,0.5394,0.7377,0.7688,0.6245,0.689,0.7389,0.811,0.5061,0.5143
36,0.5357,0.7449,0.7743,0.6576,0.6799,0.7347,0.856,0.5045,0.5054
37,0.5332,0.7457,0.7762,0.6108,0.6897,0.7457,0.8045,0.5107,0.5218
38,0.5316,0.7466,0.7753,0.6679,0.6666,0.7084,0.8111,0.5221,0.539
