epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.3992,0.8882,0.9042,0.2473,0.9697,0.9654,0.2633,0.9653,0.9601
1,0.1895,0.9779,0.9745,0.1865,0.9798,0.9761,0.2211,0.9723,0.9681
2,0.171,0.9805,0.9783,0.1657,0.983,0.9794,0.2042,0.9747,0.9708
3,0.1606,0.9827,0.9804,0.1676,0.9836,0.9802,0.2042,0.9751,0.9716
4,0.1621,0.9826,0.9806,0.1583,0.9845,0.9808,0.2034,0.9754,0.9716
5,0.1529,0.9842,0.9825,0.156,0.9848,0.9812,0.2009,0.9753,0.9721
6,0.1488,0.985,0.9835,0.1555,0.9851,0.9818,0.1982,0.9757,0.9735
7,0.1501,0.9847,0.9833,0.1536,0.9851,0.9821,0.1967,0.9757,0.9737
8,0.1477,0.9856,0.9842,0.1494,0.9856,0.9828,0.1864,0.9773,0.9747
9,0.1439,0.9867,0.9852,0.1485,0.9856,0.9834,0.1839,0.9774,0.9754
10,0.1451,0.9853,0.9846,0.1499,0.9858,0.9837,0.1855,0.9781,0.9758
11,0.1437,0.9862,0.985,0.1475,0.9859,0.9837,0.1839,0.978,0.9757
12,0.1417,0.987,0.9858,0.154,0.9856,0.9837,0.186,0.9785,0.9764
13,0.1441,0.9859,0.9854,0.1511,0.9858,0.984,0.184,0.9784,0.9761
14,0.1477,0.9851,0.9838,0.1511,0.9861,0.984,0.187,0.9778,0.9756
15,0.1396,0.9873,0.9858,0.1477,0.9863,0.9844,0.1804,0.9793,0.9772
16,0.1401,0.9869,0.9859,0.146,0.9861,0.9842,0.18,0.9788,0.9768
17,0.1381,0.9874,0.9866,0.1495,0.986,0.9842,0.1823,0.9798,0.9771
18,0.1389,0.9873,0.9865,0.1478,0.9866,0.9846,0.1809,0.9798,0.9773
19,0.1369,0.9878,0.9866,0.1499,0.9861,0.9839,0.1877,0.9782,0.9755
20,0.1385,0.9872,0.9864,0.1476,0.9861,0.9842,0.1807,0.9782,0.9769
21,0.1389,0.9875,0.9864,0.1521,0.9852,0.9828,0.1913,0.9777,0.9742
22,0.1345,0.9886,0.9876,0.1521,0.986,0.9841,0.1819,0.9796,0.9775
23,0.1385,0.987,0.9867,0.1506,0.9861,0.9839,0.1823,0.9791,0.9765
24,0.1334,0.9882,0.9875,0.1499,0.9863,0.9844,0.1839,0.9793,0.9772
25,0.1369,0.9875,0.9868,0.1463,0.9861,0.9838,0.1825,0.9789,0.976
26,0.1353,0.9878,0.9871,0.1465,0.9862,0.984,0.1826,0.9782,0.9762
27,0.1324,0.9884,0.9878,0.146,0.9861,0.9838,0.1823,0.9785,0.976
28,0.132,0.9885,0.9881,0.1456,0.9863,0.9844,0.1799,0.9802,0.9779
29,0.1293,0.9888,0.9884,0.148,0.9864,0.9845,0.1853,0.9791,0.9769
30,0.1296,0.989,0.9884,0.146,0.9863,0.9842,0.1802,0.9787,0.9773
31,0.1277,0.9894,0.9889,0.1463,0.9865,0.9847,0.1854,0.9791,0.9768
32,0.1309,0.9885,0.988,0.1482,0.9859,0.9838,0.1859,0.9787,0.976
33,0.1293,0.9885,0.9882,0.1495,0.9864,0.9844,0.1844,0.9782,0.9767
34,0.1289,0.9884,0.9886,0.146,0.986,0.9841,0.1861,0.9777,0.976
35,0.1293,0.9888,0.9884,0.1524,0.9855,0.9833,0.1867,0.9774,0.9763
36,0.1289,0.9891,0.9887,0.1488,0.9861,0.9838,0.1831,0.9781,0.9767
37,0.1277,0.9892,0.9887,0.1519,0.9861,0.9843,0.19,0.978,0.9763
38,0.1304,0.9888,0.9883,0.1437,0.9866,0.9848,0.1835,0.9784,0.9769
39,0.1252,0.9896,0.9893,0.1459,0.986,0.9845,0.1883,0.9772,0.9762
40,0.1274,0.9891,0.9889,0.1498,0.986,0.9833,0.1903,0.9781,0.9753
41,0.1268,0.9889,0.9888,0.1477,0.986,0.9841,0.1875,0.9781,0.9763
42,0.1237,0.9893,0.9894,0.153,0.9863,0.9839,0.1896,0.9791,0.9768
43,0.1263,0.9889,0.9891,0.1497,0.9855,0.9828,0.1919,0.9773,0.9747
44,0.1254,0.9892,0.9891,0.1539,0.9853,0.9823,0.1956,0.9768,0.974
45,0.1242,0.9898,0.9895,0.1547,0.986,0.9833,0.1995,0.9767,0.9749
46,0.1238,0.9895,0.9893,0.1598,0.9852,0.9826,0.2043,0.9759,0.9738
47,0.1231,0.9902,0.9895,0.157,0.9849,0.9819,0.1989,0.9764,0.974
48,0.1228,0.9901,0.9898,0.16,0.9839,0.9803,0.2081,0.9751,0.9712
49,0.1224,0.99,0.99,0.1565,0.9852,0.9833,0.1927,0.9779,0.9762
50,0.1248,0.9895,0.9893,0.154,0.9856,0.983,0.1942,0.9777,0.9752
51,0.1209,0.9899,0.9897,0.1589,0.9844,0.981,0.2046,0.9765,0.9734
52,0.1201,0.9903,0.99,0.16,0.9858,0.983,0.2053,0.9772,0.9753
53,0.1205,0.9902,0.9901,0.1614,0.9841,0.9809,0.2024,0.9759,0.9735
54,0.1196,0.99,0.9902,0.1616,0.9846,0.9814,0.2008,0.9761,0.9743
55,0.1173,0.9905,0.9905,0.1734,0.9828,0.9791,0.218,0.975,0.9719
56,0.1209,0.9898,0.9902,0.1644,0.985,0.9822,0.2064,0.9774,0.9748
57,0.1195,0.9901,0.9903,0.159,0.985,0.9821,0.2061,0.9769,0.9743
58,0.1175,0.9903,0.9905,0.1739,0.9832,0.9795,0.2179,0.9759,0.9723
59,0.1194,0.9899,0.9901,0.1759,0.9839,0.9807,0.2224,0.9765,0.973
60,0.1201,0.9897,0.9898,0.1813,0.9831,0.9793,0.2194,0.9767,0.9729
61,0.117,0.9905,0.9904,0.1749,0.9832,0.9794,0.217,0.9753,0.9721
62,0.1154,0.991,0.9909,0.1807,0.9828,0.9788,0.2297,0.9749,0.9711
63,0.1171,0.9902,0.9904,0.1755,0.9829,0.9791,0.2169,0.9757,0.9718
64,0.1167,0.9903,0.9907,0.1759,0.9837,0.9802,0.2152,0.976,0.9731
65,0.1145,0.9912,0.9911,0.1907,0.9814,0.9762,0.2398,0.9736,0.9679
66,0.1162,0.9903,0.9904,0.1888,0.9819,0.9781,0.2312,0.9759,0.9714
67,0.1153,0.9907,0.9908,0.1953,0.982,0.977,0.2391,0.9751,0.9703
68,0.114,0.9907,0.9909,0.2051,0.9812,0.976,0.2495,0.975,0.9694
69,0.1118,0.9914,0.9916,0.191,0.9823,0.9786,0.2293,0.9762,0.9721
70,0.1137,0.9911,0.9911,0.1961,0.9819,0.9775,0.2321,0.9749,0.9717
71,0.1129,0.9905,0.991,0.1922,0.982,0.9772,0.2341,0.9739,0.97
72,0.114,0.9911,0.9911,0.2041,0.9821,0.9777,0.2416,0.9756,0.9714
